"file","degree","in","out"
"2026-04-16.md","0","0","0"
"CONTRIBUTING.md","0","0","0"
"README.md","0","0","0"
".agent/skills/arch_guard/SKILL.md","1","1","0"
".agent/skills/graph_builder/SKILL.md","1","1","0"
".agent/skills/math_solver/SKILL.md","1","1","0"
".agent/skills/scene_architect/SKILL.md","1","1","0"
".agent/skills/tech_writer/SKILL.md","1","1","0"
".agent/skills/ui_validator/SKILL.md","1","1","0"
".agent/skills/unity_asset_auditor/SKILL.md","1","1","0"
".agent/skills/unity_observer/SKILL.md","1","1","0"
".agent/skills/unity_ui_pro/SKILL.md","1","1","0"
".agent/skills/uss_linter/SKILL.md","1","1","0"
".agent/skills/ux_auditor/SKILL.md","1","1","0"
".agent/skills/webgl_optimizer/SKILL.md","1","1","0"
".agent/skills/webgl_scanner/SKILL.md","1","1","0"
".agent/skills/wolfram-thermal-verifier/SKILL.md","1","1","0"
".agent/skills/wolfram-thermal-verifier/references/wolfram-workflow.md","1","1","0"
".agent/skills/workflow_generator/SKILL.md","1","1","0"
".agent/workflows/compile_docs.md","0","0","0"
".agent/workflows/thermal_documentation_maintenance.md","0","0","0"
".agent/workflows/thermal_math_verification.md","0","0","0"
".kilo/plans/17575748152164-lucky-planet.md","0","0","0"
".kilo/plans/1775748152164-lucky-planet.md","0","0","0"
".kilo/plans/2026-04-11-plan-maestro-saneamiento.md","0","0","0"
".planning/alexander_woodcock_context.md","0","0","0"
".planning/job_search_strategy.md","0","0","0"
".planning/master_schedule.md","0","0","0"
".planning/plan_audit.md","0","0","0"
".planning/portfolio_strategy.md","0","0","0"
".planning/task.md","0","0","0"
".planning/ticktick_schedule.md","0","0","0"
"archive/desarrollo/CORE_DIRECTIVE.md","0","0","0"
"archive/logs_historicos/MERMAID_PREVIEW_TEST.md","0","0","0"
"Cerebro_Digital/Wiki/Concepts/DIAGRAMA_ARQUITECTURA_CEREBRO_DIGITAL_v2.md","0","0","0"
"Cerebro_Digital/Wiki/Concepts/Fisica_Termica_Dron.md","1","0","1"
"Cerebro_Digital/Wiki/Entities/Fastener_Builder_Addon.md","1","0","1"
"desarrollo/ANALISIS_RECURSOS_DRON.md","0","0","0"
"desarrollo/CORE_DIRECTIVE.md","0","0","0"
"desarrollo/ESTRUCTURA_CARPETAS.md","0","0","0"
"desarrollo/HOJA_DE_RUTA.md","0","0","0"
"desarrollo/PLAN_MODELADO_DRON.md","0","0","0"
"desarrollo/README.md","0","0","0"
"desarrollo/UNITY_SETUP.md","0","0","0"
"desarrollo/docs/08_Portafolio_Tech_Artist.md","0","0","0"
"desarrollo/docs/ARCHITECTURE.md","0","0","0"
"desarrollo/docs/DEPLOYMENT_GUIDE.md","0","0","0"
"desarrollo/docs/PLAN_ONBOARDING_MEDIA_2026-04-15.md","0","0","0"
"desarrollo/docs/README.md","0","0","0"
